driverId,year,points,wins,age,normalized_points,races_in_season,points_per_race,normalized_points_per_race,age_group
14,2000,73.0,3,28.76659822039699,7.3,17,4.294117647058823,0.4294117647058823,25–30
14,2001,65.0,2,29.76865160848734,6.5,17,3.823529411764706,0.38235294117647056,25–30
14,2002,41.0,1,30.767967145790553,4.1,17,2.411764705882353,0.24117647058823527,30–35
14,2003,51.0,1,31.76728268309377,5.1,16,3.1875,0.31875,30–35
14,2004,24.0,0,32.766598220396986,2.4,18,1.3333333333333333,0.13333333333333333,30–35
14,2005,24.0,0,33.76865160848734,2.4,19,1.263157894736842,0.12631578947368421,30–35
14,2006,14.0,0,34.76796714579056,1.4,18,0.7777777777777778,0.07777777777777778,30–35
14,2007,14.0,0,35.76728268309377,1.4,17,0.8235294117647058,0.08235294117647059,35–40
14,2008,8.0,0,36.766598220396986,0.8,18,0.4444444444444444,0.044444444444444446,35–40
15,1997,3.0,0,22.472279260780287,0.3,17,0.17647058823529413,0.01764705882352941,<25
15,1998,1.0,0,23.471594798083505,0.1,16,0.0625,0.00625,<25
15,1999,7.0,0,24.470910335386723,0.7,16,0.4375,0.04375,<25
15,2000,6.0,0,25.470225872689937,0.6,17,0.35294117647058826,0.03529411764705882,25–30
15,2001,12.0,0,26.472279260780287,1.2,17,0.7058823529411765,0.07058823529411765,25–30
15,2002,9.0,0,27.471594798083505,0.9,17,0.5294117647058824,0.052941176470588235,25–30
15,2003,33.0,0,28.470910335386723,3.3,16,2.0625,0.20625,25–30
15,2004,46.0,1,29.470225872689937,4.6,18,2.5555555555555554,0.25555555555555554,25–30
15,2005,43.0,0,30.47227926078029,4.3,19,2.263157894736842,0.2263157894736842,30–35
15,2006,15.0,0,31.4715947980835,1.5,18,0.8333333333333334,0.08333333333333333,30–35
15,2007,8.0,0,32.47091033538672,0.8,17,0.47058823529411764,0.047058823529411764,30–35
15,2008,31.0,0,33.47022587268994,3.1,18,1.7222222222222223,0.17222222222222222,30–35
15,2009,32.5,0,34.47227926078029,3.25,17,1.911764705882353,0.19117647058823528,30–35
15,2010,0.0,0,35.4715947980835,0.0,19,0.0,0.0,35–40
15,2011,0.0,0,36.47091033538672,0.0,19,0.0,0.0,35–40
16,2007,1.0,0,23.972621492128678,0.1,17,0.058823529411764705,0.0058823529411764705,<25
16,2008,0.0,0,24.971937029431896,0.0,18,0.0,0.0,<25
16,2009,5.0,0,25.973990417522245,0.5,17,0.29411764705882354,0.029411764705882353,25–30
16,2010,47.0,0,26.973305954825463,1.88,19,2.473684210526316,0.09894736842105263,25–30
16,2011,42.0,0,27.972621492128678,1.68,19,2.210526315789474,0.08842105263157894,25–30
16,2013,29.0,0,29.97399041752225,1.16,19,1.5263157894736843,0.061052631578947365,25–30
16,2014,0.0,0,30.973305954825463,0.0,19,0.0,0.0,30–35
17,2002,2.0,0,25.347022587268995,0.2,17,0.11764705882352941,0.011764705882352941,25–30
17,2003,17.0,0,26.34633812457221,1.7,16,1.0625,0.10625,25–30
17,2004,7.0,0,27.345653661875428,0.7,18,0.3888888888888889,0.03888888888888889,25–30
17,2005,36.0,0,28.34770704996578,3.6,19,1.894736842105263,0.18947368421052632,25–30
17,2006,7.0,0,29.347022587268995,0.7,18,0.3888888888888889,0.03888888888888889,25–30
17,2007,10.0,0,30.346338124572213,1.0,17,0.5882352941176471,0.058823529411764705,30–35
17,2008,21.0,0,31.34565366187543,2.1,18,1.1666666666666667,0.11666666666666667,30–35
17,2009,69.5,2,32.34770704996578,6.95,17,4.088235294117647,0.4088235294117647,30–35
17,2010,242.0,4,33.347022587268995,9.68,19,12.736842105263158,0.5094736842105263,30–35
17,2011,258.0,1,34.34633812457221,10.32,19,13.578947368421053,0.5431578947368422,30–35
17,2012,179.0,2,35.34565366187543,7.16,20,8.95,0.358,35–40
17,2013,199.0,0,36.34770704996578,7.96,19,10.473684210526315,0.4189473684210526,35–40
18,2000,12.0,0,19.95071868583162,1.2,17,0.7058823529411765,0.07058823529411765,<25
18,2001,2.0,0,20.95277207392197,0.2,17,0.11764705882352941,0.011764705882352941,<25
18,2002,14.0,0,21.95208761122519,1.4,17,0.8235294117647058,0.08235294117647059,<25
18,2003,17.0,0,22.951403148528406,1.7,16,1.0625,0.10625,<25
18,2004,85.0,0,23.95071868583162,8.5,18,4.722222222222222,0.4722222222222222,<25
18,2005,37.0,0,24.95277207392197,3.7,19,1.9473684210526316,0.19473684210526318,<25
18,2006,56.0,1,25.95208761122519,5.6,18,3.111111111111111,0.3111111111111111,25–30
18,2007,6.0,0,26.951403148528406,0.6,17,0.35294117647058826,0.03529411764705882,25–30
18,2008,3.0,0,27.95071868583162,0.3,18,0.16666666666666666,0.016666666666666666,25–30
18,2009,95.0,6,28.95277207392197,9.5,17,5.588235294117647,0.5588235294117647,25–30
18,2010,214.0,2,29.952087611225192,8.56,19,11.263157894736842,0.4505263157894737,25–30
18,2011,270.0,3,30.951403148528403,10.8,19,14.210526315789474,0.5684210526315789,30–35
18,2012,188.0,3,31.950718685831625,7.52,20,9.4,0.376,30–35
18,2013,73.0,0,32.95277207392197,2.92,19,3.8421052631578947,0.15368421052631578,30–35
18,2014,126.0,0,33.95208761122519,5.04,19,6.631578947368421,0.26526315789473687,30–35
18,2015,16.0,0,34.95140314852841,0.64,19,0.8421052631578947,0.03368421052631579,30–35
18,2016,21.0,0,35.950718685831625,0.84,21,1.0,0.04,35–40
18,2017,0.0,0,36.95277207392197,0.0,20,0.0,0.0,35–40
19,2002,0.0,0,22.70773442847365,0.0,17,0.0,0.0,<25
19,2005,0.0,0,25.70841889117043,0.0,19,0.0,0.0,25–30
19,2007,0.0,0,27.707049965776864,0.0,17,0.0,0.0,25–30
19,2008,0.0,0,28.706365503080082,0.0,18,0.0,0.0,25–30
20,2007,6.0,0,19.498973305954827,0.6,17,0.35294117647058826,0.03529411764705882,<25
20,2008,35.0,1,20.49828884325804,3.5,18,1.9444444444444444,0.19444444444444445,<25
20,2009,84.0,4,21.50034223134839,8.4,17,4.9411764705882355,0.49411764705882355,<25
20,2010,256.0,5,22.49965776865161,10.24,19,13.473684210526315,0.5389473684210526,<25
20,2011,392.0,11,23.498973305954827,15.68,19,20.63157894736842,0.8252631578947368,<25
20,2012,281.0,5,24.49828884325804,11.24,20,14.05,0.562,<25
20,2013,397.0,13,25.50034223134839,15.88,19,20.894736842105264,0.8357894736842105,25–30
20,2014,167.0,0,26.49965776865161,6.68,19,8.789473684210526,0.35157894736842105,25–30
20,2015,278.0,3,27.498973305954827,11.12,19,14.631578947368421,0.5852631578947368,25–30
20,2016,212.0,0,28.49828884325804,8.48,21,10.095238095238095,0.40380952380952384,25–30
